member_id,join_date,age,plan,monthly_fee_inr,signup_source,status,cancel_date
M2108,08-07-2025,29,Monthly,1500,Referral,Cancelled,01-08-2025
M2109,03-03-2026,17,Annual,1000,Google,Active,
M2110,24-07-2025,26,Monthly,1500,Google,Active,
M2111,21-07-2025,25,Quarterly,1200,Google,Active,
M2112,12-01-2025,22,Monthly,1500,Walk-in,Cancelled,23-03-2025
M2113,10-04-2025,24,Annual,1000,Walk-in,Active,
M2114,13-10-2025,27,Quarterly,1200,Instagram,Cancelled,05-11-2025
M2115,18-12-2025,29,Quarterly,1200,Google,Active,
M2116,05-06-2025,19,Monthly,1500,Instagram,Active,
M2117,17-01-2025,36,Monthly,1500,Walk-in,Cancelled,18-12-2024
M2118,20-01-2026,29,Monthly,1500,Instagram,Cancelled,30-06-2026
M2119,16-09-2025,26,Annual,1000,Instagram,Active,
M2120,04-01-2026,40,Quarterly,1200,Instagram,Cancelled,01-05-2026
M2121,09-03-2026,39,Monthly,1500,Walk-in,Active,
M2122,29-03-2026,22,Annual,1000,Walk-in,Active,
M2123,14-01-2026,33,Quarterly,1200,Instagram,Active,
M2124,15-01-2025,17,Quarterly,1200,Walk-in,Active,
M2125,27-08-2025,43,Quarterly,1200,Google,Cancelled,11-10-2025
M2126,03-04-2025,28,Quarterly,1200,Walk-in,Active,
M2127,28-01-2026,29,Monthly,1500,Google,Active,
M2128,09-01-2025,25,Quarterly,1200,Instagram,Active,
M2129,25-01-2026,31,Annual,1000,Google,Active,
M2130,05-03-2026,29,Quarterly,1200,Walk-in,Active,
M2131,14-01-2025,36,Annual,1000,Instagram,Active,
M2132,01-10-2025,36,Monthly,1500,Walk-in,Cancelled,30-06-2026
M2133,22-03-2025,26,Monthly,1500,Instagram,Cancelled,25-04-2025
M2134,09-06-2025,22,Monthly,1500,Google,Cancelled,30-06-2026
M2135,28-02-2026,29,Quarterly,1200,Walk-in,Active,
M2136,11-01-2026,24,Quarterly,1200,Instagram,Cancelled,21-02-2026
M2137,14-05-2025,24,Monthly,1500,Walk-in,Cancelled,16-07-2025
M2138,02-03-2026,29,Quarterly,1200,Referral,Cancelled,20-05-2026
M2139,21-01-2025,35,Quarterly,1200,Google,Active,
M2140,31-01-2025,31,Monthly,1500,Instagram,Active,
M2141,09-01-2025,24,Monthly,1500,Instagram,Cancelled,09-07-2025
M2142,15-01-2026,33,Monthly,1500,Google,Cancelled,19-03-2026
M2143,19-02-2025,17,Quarterly,1200,Google,Active,
M2144,02-01-2025,23,Monthly,1500,Instagram,Cancelled,10-06-2025
M2145,15-10-2025,28,Monthly,1500,Instagram,Active,
M2146,12-10-2025,17,Monthly,1500,Referral,Active,
M2147,06-02-2026,23,Monthly,1500,Instagram,Active,
M2148,22-11-2025,28,Annual,1000,Walk-in,Active,
M2149,15-05-2025,30,Annual,1000,Instagram,Active,
M2150,17-11-2025,33,Monthly,1500,Instagram,Cancelled,04-01-2026
M2151,29-04-2026,27,Monthly,1500,Referral,Active,
M2152,05-01-2025,28,Quarterly,1200,Instagram,Cancelled,16-05-2025
M2153,10-01-2025,33,Quarterly,1200,Walk-in,Cancelled,29-04-2025
M2154,20-03-2025,21,Quarterly,1200,Referral,Active,
M2155,22-08-2025,35,Monthly,1500,Walk-in,Cancelled,15-09-2025
M2156,04-01-2025,35,Annual,1000,Instagram,Active,
M2157,29-04-2025,37,Quarterly,1200,Google,Cancelled,25-05-2025
M2158,30-05-2025,20,Monthly,1500,Walk-in,Active,
M2159,05-01-2026,29,Quarterly,1200,Google,Cancelled,17-02-2026
M2160,24-03-2025,25,Quarterly,1200,Instagram,Active,
M2161,24-01-2026,26,Quarterly,1200,Referral,Active,
M2162,06-03-2025,28,Quarterly,1200,Google,Active,
M2163,30-10-2025,39,Annual,1000,Referral,Active,
M2164,08-01-2026,28,Quarterly,1200,Walk-in,Active,
M2165,04-05-2025,40,Quarterly,1200,Walk-in,Active,
M2166,27-02-2025,42,Monthly,1500,Instagram,Active,
M2167,10-01-2025,17,Monthly,1500,Walk-in,Active,
M2168,04-10-2025,21,Monthly,1500,Instagram,Cancelled,05-12-2025
M2169,14-12-2025,37,Monthly,1500,Referral,Active,
M2170,03-05-2025,30,Annual,1000,Instagram,Active,
M2171,18-05-2025,30,Monthly,1500,Walk-in,Active,
M2172,05-01-2026,24,Quarterly,1200,Google,Cancelled,20-04-2026
M2173,25-01-2026,27,Monthly,1500,Referral,Cancelled,26-12-2025
M2174,28-05-2025,35,Monthly,1500,Instagram,Active,
M2175,27-06-2025,18,Quarterly,1200,Google,Active,
M2176,14-08-2025,17,Monthly,1500,Walk-in,Cancelled,21-09-2025
M2177,10-08-2025,33,Quarterly,1200,Google,Active,
M2178,13-11-2025,23,Annual,1000,Google,Active,
M2179,03-01-2026,34,Quarterly,1200,Instagram,Active,
M2180,04-02-2025,28,Quarterly,1200,Instagram,Cancelled,24-02-2025
M2181,27-06-2025,37,Quarterly,1200,Instagram,Active,
M2182,13-09-2025,41,Monthly,1500,Walk-in,Cancelled,06-02-2026
M2183,17-01-2026,38,Annual,1000,Instagram,Active,
M2184,13-01-2025,33,Annual,1000,Walk-in,Active,
M2185,13-10-2025,33,Annual,1000,Instagram,Active,
M2186,11-04-2025,39,Annual,1000,Walk-in,Active,
M2187,02-01-2025,31,Quarterly,1200,Referral,Active,
M2188,20-01-2025,34,Quarterly,1200,Instagram,Cancelled,29-04-2025
M2189,27-09-2025,25,Quarterly,1200,Instagram,Active,
M2190,11-01-2026,29,Monthly,1500,Google,Active,
M2191,31-01-2026,17,Quarterly,1200,Instagram,Active,
M2192,09-07-2025,37,Quarterly,1200,Instagram,Active,
M2193,14-01-2026,33,Monthly,1500,Instagram,Active,
M2194,05-01-2026,42,Monthly,1500,Walk-in,Active,
M2195,02-01-2025,21,Monthly,1500,Instagram,Cancelled,28-09-2025
M2196,12-01-2026,33,Monthly,1500,Walk-in,Active,
M2197,11-02-2025,28,Monthly,1500,Walk-in,Cancelled,01-10-2025
M2198,06-01-2026,29,Monthly,1500,Walk-in,Cancelled,30-06-2026
M2199,10-12-2025,39,Monthly,1500,Instagram,Cancelled,03-01-2026
M2200,10-06-2025,38,Monthly,1500,Instagram,Active,
M2201,13-11-2025,29,Monthly,1500,Walk-in,Active,
M2202,01-09-2025,29,Quarterly,1200,Instagram,Active,
M2203,30-11-2025,24,Monthly,1500,Google,Active,
M2204,29-04-2025,39,Monthly,1500,Instagram,Cancelled,31-05-2025
M2205,27-09-2025,29,Quarterly,1200,Walk-in,Active,
M2206,10-05-2025,29,Monthly,1500,Instagram,Active,
M2207,10-05-2025,23,Quarterly,1200,Google,Active,
M2208,18-07-2025,33,Monthly,1500,Instagram,Cancelled,21-11-2025
M2209,12-08-2025,26,Monthly,1500,Referral,Active,
M2210,16-01-2025,24,Monthly,1500,Instagram,Cancelled,23-04-2026
M2211,02-07-2025,31,Annual,1000,Referral,Active,
M2212,28-01-2025,28,Quarterly,1200,Referral,Active,
M2213,14-05-2025,32,Annual,1000,Instagram,Active,
M2214,19-12-2025,20,Quarterly,1200,Referral,Active,
M2215,11-11-2025,32,Quarterly,1200,Instagram,Active,
M2216,07-04-2026,38,Annual,1000,Referral,Active,
M2217,12-04-2026,40,Monthly,1500,Walk-in,Active,
M2218,13-01-2026,18,Annual,1000,Instagram,Active,
M2219,13-01-2025,33,Annual,1000,Walk-in,Active,
M2220,12-02-2026,17,Annual,1000,Referral,Active,
M2221,24-01-2026,28,Monthly,1500,Walk-in,Cancelled,26-03-2026
M2222,30-07-2025,17,Quarterly,1200,Referral,Active,
M2223,05-04-2026,24,Monthly,1500,Instagram,Active,
M2224,15-01-2026,18,Quarterly,1200,Google,Cancelled,30-06-2026
M2225,27-03-2026,30,Monthly,1500,Walk-in,Active,
M2226,25-01-2026,19,Monthly,1500,Google,Cancelled,30-06-2026
M2227,18-07-2025,20,Quarterly,1200,Walk-in,Cancelled,01-12-2025
M2228,17-08-2025,40,Annual,1000,Walk-in,Active,
M2229,22-07-2025,21,Annual,1000,Referral,Active,
M2230,07-01-2025,22,Annual,1000,Walk-in,Active,
M2231,20-01-2026,26,Annual,1000,Google,Active,
M2232,09-10-2025,35,Monthly,1500,Google,Cancelled,18-05-2026
M2233,07-04-2026,28,Quarterly,1200,Walk-in,Active,
M2234,05-01-2025,21,Monthly,1500,Walk-in,Cancelled,24-02-2025
M2235,05-04-2025,25,Monthly,1500,Instagram,Active,
M2236,04-01-2026,27,Annual,1000,Google,Cancelled,25-06-2026
M2237,17-09-2025,32,Annual,1000,Referral,Active,
M2238,13-01-2026,28,Monthly,1500,Instagram,Active,
M2239,28-10-2025,26,Quarterly,1200,Walk-in,Active,
M2240,10-01-2025,26,Monthly,1500,Instagram,Cancelled,28-07-2025
M2241,04-12-2025,32,Monthly,1500,Instagram,Active,
M2242,28-04-2026,26,Monthly,1500,Walk-in,Cancelled,30-06-2026
M2243,10-01-2026,22,Quarterly,1200,Instagram,Cancelled,18-02-2026
M2244,05-01-2025,20,Quarterly,1200,Walk-in,Cancelled,14-04-2025
M2245,09-10-2025,29,Annual,1000,Instagram,Active,
M2246,14-01-2025,35,Annual,1000,Referral,Active,
M2247,20-07-2025,28,Quarterly,1200,Walk-in,Active,
M2248,10-01-2026,24,Quarterly,1200,Walk-in,Cancelled,30-06-2026
M2249,29-03-2026,24,Quarterly,1200,Walk-in,Cancelled,30-06-2026
M2250,07-06-2025,28,Annual,1000,Walk-in,Active,
M2251,22-10-2025,33,Monthly,1500,Instagram,Active,
M2252,18-03-2025,18,Monthly,1500,Instagram,Active,
M2253,30-01-2026,31,Monthly,1500,Instagram,Cancelled,30-06-2026
M2254,08-01-2025,22,Monthly,1500,Referral,Cancelled,22-06-2025
M2255,09-01-2025,22,Quarterly,1200,Walk-in,Cancelled,22-03-2025
M2256,04-01-2026,39,Monthly,1500,Walk-in,Cancelled,30-06-2026
M2257,23-11-2025,27,Annual,1000,Referral,Active,
M2258,23-01-2026,34,Annual,1000,Referral,Active,
M2259,22-01-2026,27,Monthly,1500,Walk-in,Cancelled,07-06-2026
M2260,22-01-2026,27,Annual,1000,Instagram,Active,
M2261,20-04-2025,17,Quarterly,1200,Instagram,Cancelled,02-06-2025
M2262,18-03-2026,24,Quarterly,1200,Walk-in,Active,
M2263,04-01-2025,33,Quarterly,1200,Walk-in,Active,
M2264,06-02-2026,37,Quarterly,1200,Referral,Active,
M2265,25-11-2025,27,Monthly,1500,Referral,Active,
M2266,03-01-2026,29,Quarterly,1200,Walk-in,Cancelled,16-02-2026
M2267,26-01-2025,37,Annual,1000,Walk-in,Cancelled,17-06-2025
M2268,20-01-2026,32,Monthly,1500,Referral,Active,
M2269,19-02-2026,20,Annual,1000,Walk-in,Active,
M2270,12-01-2026,40,Annual,1000,Instagram,Active,
M2271,04-01-2026,33,Quarterly,1200,Referral,Active,
M2272,20-12-2025,28,Annual,1000,Google,Active,
M2273,23-01-2026,35,Monthly,1500,Instagram,Active,
M2274,28-01-2026,26,Quarterly,1200,Instagram,Cancelled,21-02-2026
M2275,18-12-2025,24,Annual,1000,Walk-in,Active,
M2276,02-05-2025,21,Quarterly,1200,Instagram,Cancelled,25-06-2025
M2277,07-01-2026,38,Monthly,1500,Instagram,Active,
M2278,05-01-2025,41,Quarterly,1200,Walk-in,Cancelled,25-05-2025
M2279,11-06-2025,24,Monthly,1500,Referral,Cancelled,06-09-2025
M2280,04-01-2026,29,Monthly,1500,Google,Cancelled,30-06-2026
M2281,25-01-2026,37,Monthly,1500,Walk-in,Cancelled,25-04-2026
M2282,17-02-2026,27,Quarterly,1200,Instagram,Active,
M2283,28-01-2026,31,Monthly,1500,Walk-in,Active,
M2284,29-03-2025,38,Monthly,1500,Instagram,Cancelled,06-05-2025
M2285,02-07-2025,31,Monthly,1500,Walk-in,Cancelled,23-10-2025
M2286,04-01-2026,35,Monthly,1500,Instagram,Cancelled,13-04-2026
M2287,28-08-2025,39,Monthly,1500,Referral,Cancelled,18-11-2025
M2288,19-04-2026,35,Quarterly,1200,Instagram,Active,
M2289,06-10-2025,40,Quarterly,1200,Walk-in,Cancelled,07-04-2026
M2290,11-01-2025,39,Monthly,1500,Google,Active,
M2291,20-04-2026,39,Quarterly,1200,Google,Cancelled,25-06-2026
M2292,27-08-2025,24,Monthly,1500,Instagram,Active,
M2293,26-09-2025,27,Monthly,1500,Instagram,Cancelled,13-11-2025
M2294,07-08-2025,31,Annual,1000,Walk-in,Active,
M2295,04-09-2025,53,Quarterly,1200,Referral,Active,
M2296,05-04-2025,29,Monthly,1500,Walk-in,Active,
M2297,03-09-2025,37,Quarterly,1200,Walk-in,Cancelled,28-12-2025
M2298,20-04-2025,21,Monthly,1500,Referral,Cancelled,25-05-2025
M2299,13-03-2026,33,Monthly,1500,Google,Cancelled,26-04-2026
M2300,15-11-2025,29,Quarterly,1200,Google,Active,
M2301,29-09-2025,37,Monthly,1500,Instagram,Cancelled,10-11-2025
M2302,12-01-2026,30,Annual,1000,Instagram,Cancelled,07-05-2026
M2303,05-01-2026,36,Monthly,1500,Google,Active,
M2304,27-02-2026,17,Annual,1000,Referral,Active,
M2305,21-08-2025,17,Monthly,1500,Google,Active,
M2306,12-11-2025,30,Annual,1000,Instagram,Active,
M2307,18-01-2026,35,Monthly,1500,Instagram,Cancelled,14-02-2026
M2308,05-01-2025,28,Quarterly,1200,Walk-in,Cancelled,23-09-2025
M2309,01-01-2026,18,Quarterly,1200,Google,Active,
M2310,04-01-2026,40,Annual,1000,Walk-in,Active,
M2311,27-01-2025,17,Quarterly,1200,Walk-in,Cancelled,27-09-2025
M2312,30-09-2025,37,Monthly,1500,Google,Active,
M2313,12-02-2026,22,Monthly,1500,Walk-in,Cancelled,15-03-2026
M2314,13-01-2026,26,Quarterly,1200,Google,Active,
M2315,25-03-2026,33,Monthly,1500,Google,Cancelled,30-06-2026
M2316,15-10-2025,26,Annual,1000,Walk-in,Active,
M2317,23-10-2025,27,Monthly,1500,Google,Cancelled,19-02-2026
M2318,03-01-2026,22,Monthly,1500,Google,Cancelled,21-04-2026
M2319,28-04-2026,26,Monthly,1500,Instagram,Cancelled,16-06-2026
M2320,11-08-2025,27,Quarterly,1200,Instagram,Active,
M2321,02-01-2026,17,Quarterly,1200,Instagram,Cancelled,16-02-2026
M2322,21-11-2025,30,Monthly,1500,Instagram,Active,
M2323,23-01-2025,40,Monthly,1500,Instagram,Cancelled,17-02-2025
M2324,14-03-2026,30,Monthly,1500,Google,Cancelled,15-04-2026
M2325,28-06-2025,35,Monthly,1500,Instagram,Cancelled,03-08-2025
M2326,10-03-2025,28,Annual,1000,Walk-in,Active,
M2327,08-05-2025,32,Monthly,1500,Walk-in,Cancelled,03-06-2025
M2328,28-07-2025,19,Monthly,1500,Referral,Active,
M2329,26-02-2026,29,Quarterly,1200,Walk-in,Active,
M2330,17-01-2025,19,Annual,1000,Instagram,Cancelled,05-04-2025
M2331,08-11-2025,32,Monthly,1500,Instagram,Active,
M2332,24-02-2025,25,Quarterly,1200,Instagram,Cancelled,19-04-2025
M2333,20-02-2026,17,Quarterly,1200,Walk-in,Active,
M2334,24-01-2026,36,Quarterly,1200,Walk-in,Cancelled,23-02-2026
M2335,04-08-2025,27,Quarterly,1200,Referral,Active,
M2336,09-01-2026,18,Quarterly,1200,Walk-in,Active,
M2337,22-02-2025,24,Quarterly,1200,Referral,Cancelled,14-10-2025
M2338,03-04-2026,38,Quarterly,1200,Google,Active,
M2339,16-01-2025,32,Quarterly,1200,Walk-in,Cancelled,05-02-2025
M2340,02-01-2025,23,Monthly,1500,Instagram,Active,
M2341,23-04-2026,21,Monthly,1500,Instagram,Active,
M2342,22-01-2025,40,Annual,1000,Referral,Active,
M2343,19-03-2026,25,Quarterly,1200,Google,Active,
M2344,06-06-2025,18,Monthly,1500,Google,Active,
M2345,18-09-2025,23,Quarterly,1200,Instagram,Cancelled,14-11-2025
M2346,24-07-2025,30,Monthly,1500,Walk-in,Active,
M2347,13-04-2025,26,Monthly,1500,Google,Active,
M2348,27-11-2025,21,Quarterly,1200,Google,Cancelled,19-04-2026
M2349,03-01-2026,17,Quarterly,1200,Google,Cancelled,30-06-2026
M2350,17-10-2025,37,Annual,1000,Walk-in,Active,
M2351,19-11-2025,23,Quarterly,1200,Instagram,Cancelled,22-01-2026
M2352,14-06-2025,33,Monthly,1500,Google,Cancelled,20-07-2025
M2353,19-01-2026,25,Quarterly,1200,Walk-in,Active,
M2354,14-11-2025,30,Monthly,1500,Walk-in,Active,
M2355,01-09-2025,21,Annual,1000,Google,Active,
M2356,20-01-2026,24,Monthly,1500,Google,Cancelled,04-04-2026
M2357,10-01-2026,20,Annual,1000,Walk-in,Cancelled,30-06-2026
M2358,24-05-2025,18,Monthly,1500,Referral,Active,
M2359,17-08-2025,33,Annual,1000,Referral,Active,
M2360,01-01-2026,30,Monthly,1500,Walk-in,Cancelled,22-06-2026
M2361,28-12-2025,27,Quarterly,1200,Referral,Active,
M2362,16-04-2025,28,Monthly,1500,Instagram,Active,
M2363,17-04-2026,17,Monthly,1500,Walk-in,Active,
M2364,05-01-2025,17,Monthly,1500,Instagram,Cancelled,06-02-2025
M2365,04-06-2025,25,Monthly,1500,Google,Active,
M2366,24-01-2025,36,Annual,1000,Google,Active,
M2367,17-01-2026,37,Quarterly,1200,Referral,Active,
M2368,01-07-2025,20,Quarterly,1200,Walk-in,Active,
M2369,14-11-2025,30,Monthly,1500,Instagram,Cancelled,26-12-2025
M2370,04-01-2026,29,Quarterly,1200,Referral,Cancelled,26-02-2026
M2371,24-04-2025,22,Monthly,1500,Instagram,Cancelled,05-10-2025
M2372,09-10-2025,41,Quarterly,1200,Walk-in,Cancelled,27-12-2025
M2373,21-07-2025,34,Monthly,1500,Referral,Active,
M2374,18-01-2026,29,Monthly,1500,Instagram,Active,
M2375,21-10-2025,26,Monthly,1500,Instagram,Cancelled,30-06-2026
M2376,05-07-2025,42,Monthly,1500,Walk-in,Cancelled,14-10-2025
M2377,23-03-2025,25,Monthly,1500,Referral,Active,
M2378,02-01-2025,24,Monthly,1500,Instagram,Active,
M2379,23-02-2025,40,Monthly,1500,Google,Cancelled,18-04-2025
M2380,18-04-2025,33,Quarterly,1200,Instagram,Active,
M2381,12-04-2025,26,Monthly,1500,Referral,Active,
M2382,29-12-2025,32,Monthly,1500,Walk-in,Active,
M2383,02-03-2026,23,Monthly,1500,Walk-in,Cancelled,30-06-2026
M2384,06-10-2025,36,Quarterly,1200,Walk-in,Active,
M2385,07-11-2025,26,Monthly,1500,Referral,Active,
M2386,02-02-2025,40,Annual,1000,Google,Active,
M2387,10-03-2026,31,Quarterly,1200,Walk-in,Active,
M2388,11-01-2026,26,Monthly,1500,Instagram,Cancelled,30-06-2026
M2389,17-01-2026,34,Annual,1000,Google,Cancelled,29-03-2026
M2390,29-09-2025,25,Monthly,1500,Walk-in,Cancelled,24-11-2025
M2391,21-12-2025,37,Annual,1000,Instagram,Cancelled,16-01-2026
M2392,29-11-2025,24,Monthly,1500,Google,Active,
M2393,23-02-2025,20,Monthly,1500,Instagram,Cancelled,27-03-2025
M2394,17-01-2026,36,Monthly,1500,Walk-in,Cancelled,06-02-2026
M2395,23-01-2025,38,Monthly,1500,Walk-in,Active,
M2396,20-03-2026,29,Monthly,1500,Instagram,Cancelled,25-04-2026
M2397,25-06-2025,24,Annual,1000,Walk-in,Active,
M2398,03-05-2025,33,Monthly,1500,Instagram,Cancelled,27-05-2025
M2399,09-01-2026,26,Quarterly,1200,Google,Active,
M2400,08-03-2026,21,Quarterly,1200,Instagram,Active,
M2401,28-01-2025,27,Annual,1000,Google,Active,
M2402,08-02-2025,22,Monthly,1500,Google,Cancelled,19-06-2025
M2403,27-01-2025,26,Monthly,1500,Instagram,Cancelled,07-04-2025
M2404,06-01-2026,17,Monthly,1500,Walk-in,Cancelled,11-03-2026
M2405,15-02-2025,20,Quarterly,1200,Instagram,Cancelled,25-06-2025
M2406,11-01-2025,17,Monthly,1500,Walk-in,Cancelled,10-03-2025
M2407,12-04-2026,26,Monthly,1500,Instagram,Cancelled,20-06-2026
M2408,29-03-2026,17,Annual,1000,Referral,Active,
M2409,15-01-2025,19,Monthly,1500,Instagram,Cancelled,04-03-2025
M2410,16-02-2026,32,Annual,1000,Referral,Active,
M2411,17-11-2025,29,Quarterly,1200,Referral,Active,
M2412,28-04-2025,30,Quarterly,1200,Instagram,Active,
M2413,28-06-2025,22,Quarterly,1200,Instagram,Cancelled,16-10-2025
